ketel eff.,gevel opp.,gevel isolatie,dak opp.,dak isolatie,ketel,gevel,dak,ketel + gevel,ketel + dak,gevel + dak,ketel + gevel + dak,beste maatregel
0.6551,40.29,0.6231,54.5,0.5741,1384.12,1090.99,1045.83,3304.59,3330.16,2909.88,6312.66,ketel + gevel + dak
0.8669,59.99,0.322,56.3,0.4406,-986.72,1786.71,1126.0,932.45,236.09,4486.12,3788.78,gevel + dak
0.5485,61.38,0.3957,54.5,0.5886,2480.0,1182.84,588.44,5522.63,4318.95,2757.24,8979.52,ketel + gevel + dak
0.5627,33.77,0.5478,52.0,0.4053,566.48,130.6,154.55,1342.02,1592.74,816.2,3217.61,ketel + gevel + dak
0.6489,33.77,0.3265,52.0,0.3065,-607.07,-7.0,-300.16,-250.91,-520.35,305.22,685.13,ketel + gevel + dak
0.5442,84.13,0.5502,52.0,0.4634,4131.88,608.44,2219.36,6678.54,8652.55,4107.13,13315.1,ketel + gevel + dak
0.7261,36.86,0.5067,56.3,0.3299,-389.68,303.7,644.23,233.85,745.81,1757.73,2373.03,ketel + gevel + dak
0.7735,36.86,0.4337,56.3,0.532,-386.24,1262.61,462.99,1251.65,382.66,2588.22,3024.25,ketel + gevel + dak
0.7861,61.99,0.6007,54.9,0.4604,239.89,1573.88,2945.57,2293.19,3810.97,5957.19,7510.29,ketel + gevel + dak
0.5684,87.57,0.5958,52.8,0.4588,4431.36,787.77,2886.86,7109.57,9772.99,5086.86,14687.49,ketel + gevel + dak
0.7426,37.28,0.6992,57.8,0.5356,506.85,692.22,1561.17,1567.15,2705.4,2901.67,4551.43,ketel + gevel + dak
0.8137,83.72,0.6993,52.0,0.4556,407.35,924.58,5356.23,1678.42,6469.14,7715.66,9327.16,ketel + gevel + dak
0.8006,59.99,0.6474,56.3,0.4046,-19.03,1260.07,3296.35,1605.88,3861.09,6009.6,7119.53,ketel + gevel + dak
0.8103,37.28,0.4886,52.8,0.5386,-575.96,1264.49,774.03,943.97,429.79,2895.69,2901.76,ketel + gevel + dak
0.7054,85.77,0.3888,52.8,0.6377,1735.71,3072.64,2017.72,6318.35,4674.1,6807.14,11447.07,ketel + gevel + dak
0.8554,51.41,0.5931,50.6,0.6933,-559.61,2705.84,1514.12,2362.17,1099.28,5157.09,5007.01,gevel + dak
0.5708,29.88,0.443,58.7,0.5338,634.42,599.27,-275.71,2061.82,1046.05,861.59,3321.77,ketel + gevel + dak
0.8495,29.34,0.6195,58.7,0.4958,-841.39,1127.73,967.97,402.12,271.24,2881.98,2347.73,gevel + dak
0.7324,29.88,0.6918,58.7,0.405,-93.49,269.05,920.48,428.56,1373.4,1735.54,2566.42,ketel + gevel + dak
0.8188,33.51,0.6508,62.2,0.5622,-368.24,1628.78,1429.7,1515.06,1357.38,3971.76,4244.5,ketel + gevel + dak
0.7007,36.42,0.4831,62.2,0.5853,514.63,1476.61,505.7,2701.06,1606.28,2835.4,4888.35,ketel + gevel + dak
0.5939,29.34,0.4839,58.7,0.6011,860.44,830.41,-137.56,2542.41,1408.45,1242.5,3923.4,ketel + gevel + dak
0.6772,29.88,0.3692,58.7,0.3409,-539.04,251.29,-289.1,70.25,-440.36,600.47,1017.25,ketel + gevel + dak
0.5783,29.34,0.426,58.7,0.3213,-181.1,38.21,-327.43,335.44,125.76,246.0,1475.29,ketel + gevel + dak
0.7322,29.88,0.398,58.7,0.4515,-489.63,721.34,-94.07,588.68,-269.01,1317.45,1657.63,ketel + gevel + dak
0.7736,63.1,0.3909,64.6,0.3934,-135.87,1566.47,1697.17,1975.06,2102.32,4958.34,6184.78,ketel + gevel + dak
0.8152,67.97,0.6665,85.5,0.542,1192.34,4428.71,6345.89,6279.93,8420.99,13111.05,16088.16,ketel + gevel + dak
0.8036,29.88,0.5437,58.7,0.4809,-606.11,984.74,591.58,597.1,232.45,2333.79,2283.98,gevel + dak
0.6615,29.88,0.4534,58.7,0.6028,336.15,1042.53,-54.05,2056.29,791.78,1611.97,3360.24,ketel + gevel + dak
0.5843,29.88,0.3067,58.7,0.5197,-14.11,594.46,-623.03,1353.71,-180.78,522.14,2035.36,ketel + gevel + dak
0.6341,29.88,0.6727,58.7,0.3319,198.78,42.68,542.73,610.2,1584.48,1115.34,2748.05,ketel + gevel + dak
0.7219,29.88,0.5394,58.7,0.4901,-90.86,830.87,367.65,1151.29,729.41,1879.0,2819.88,ketel + gevel + dak
0.7507,66.8,0.3258,64.6,0.4553,83.49,2092.69,1220.76,2964.15,1868.08,5054.43,6835.87,ketel + gevel + dak
0.7659,66.8,0.6525,64.6,0.6947,2323.41,4220.99,2884.49,7610.54,5995.42,8466.96,12882.32,ketel + gevel + dak
0.6945,29.56,0.6358,58.7,0.6885,897.52,1401.72,194.34,2959.08,1583.72,2118.84,4322.78,ketel + gevel + dak
0.7982,29.88,0.6197,58.7,0.5658,-358.51,1291.81,863.38,1204.9,802.31,2907.51,3214.04,ketel + gevel + dak
0.5939,29.56,0.5996,58.7,0.3013,89.4,6.64,192.57,526.15,1137.79,752.97,2413.77,ketel + gevel + dak
0.7262,66.84,0.4947,64.6,0.3511,550.76,1086.39,2553.19,2344.95,4101.36,5324.72,7983.94,ketel + gevel + dak
0.5974,56.86,0.4965,62.84,0.6968,3824.74,2404.89,609.72,8253.89,5538.88,3893.13,11291.47,ketel + gevel + dak
0.5754,25.27,0.5121,56.9,0.3827,28.84,143.21,-283.98,651.95,387.08,303.85,1705.62,ketel + gevel + dak
0.7213,53.34,0.5318,49.32,0.3595,7.64,339.51,1478.7,801.28,2158.16,2837.95,4224.18,ketel + gevel + dak
0.8353,67.21,0.5235,49.1,0.6668,-199.17,3057.35,2323.7,3240.55,2399.44,6737.77,7300.91,ketel + gevel + dak
0.6943,67.21,0.367,49.1,0.5743,721.69,1653.82,1032.17,3422.71,2423.12,3917.36,6720.22,ketel + gevel + dak
0.6542,67.21,0.4432,49.1,0.3497,488.89,146.45,1343.6,1397.44,2798.51,2650.22,5303.14,ketel + gevel + dak
0.8621,53.34,0.5204,49.32,0.4376,-895.18,1173.24,1938.34,395.22,1182.48,4330.42,3745.25,gevel + dak
0.7068,42.81,0.5543,0.0,0.5211,1879.29,2866.58,0.0,5856.98,1879.29,2866.58,5856.98,ketel + gevel
0.6071,64.47,0.3969,0.0,0.4104,3835.41,3452.91,0.0,9825.64,3835.41,3452.91,9825.64,ketel + gevel
0.6022,42.58,0.6582,0.0,0.4694,4406.16,2111.72,0.0,8151.61,4406.16,2111.72,8151.61,ketel + gevel
0.8729,66.24,0.5516,0.0,0.6635,-535.03,5913.58,0.0,5619.66,-535.03,5913.58,5619.66,gevel
0.6466,40.5,0.346,71.98,0.3912,143.53,847.42,-46.94,1767.5,783.45,1813.45,3817.38,ketel + gevel + dak
